SaleID,price
200000,1390
200001,1766
200002,8859
200003,1253
200004,1988
200005,1004
200006,568
200007,3340
200008,9921
200009,663
200010,597
200011,2579
200012,5686
200013,7490
200014,1914
200015,261
200016,1826
200017,8508
200018,6883
200019,747
200020,24236
200021,7473
200022,2090
200023,1670
200024,800
200025,8478
200026,476
200027,12668
200028,4013
200029,8031
200030,17229
200031,13463
200032,557
200033,14555
200034,1062
200035,1959
200036,13837
200037,6106
200038,1553
200039,368
200040,547
200041,27342
200042,573
200043,7510
200044,19870
200045,478
200046,16496
200047,16780
200048,2183
200049,3259
200050,700
200051,4550
200052,3104
200053,346
200054,13308
200055,10987
200056,5925
200057,3360
200058,1255
200059,5083
200060,8731
200061,1079
200062,5567
200063,8296
200064,1174
200065,1662
200066,460
200067,10375
200068,279
200069,18518
200070,9026
200071,591
200072,6539
200073,17176
200074,4059
200075,13243
200076,3007
200077,465
200078,437
200079,3035
200080,3087
200081,1907
200082,4192
200083,467
200084,1335
200085,1929
200086,6868
200087,3454
200088,2556
200089,41591
200090,2598
200091,219
200092,1322
200093,17151
200094,6314
200095,5881
200096,2505
200097,1220
200098,486
200099,21226
200100,21366
200101,7405
200102,1643
200103,10987
200104,5504
200105,3982
200106,8702
200107,2005
200108,14511
200109,8184
200110,601
200111,1807
200112,1790
200113,868
200114,2069
200115,1414
200116,14227
200117,16539
200118,57117
200119,181
200120,2814
200121,2337
200122,618
200123,2473
200124,55814
200125,672
200126,3103
200127,15904
200128,1705
200129,5889
200130,3916
200131,2942
200132,1440
200133,3007
200134,1266
200135,2960
200136,3871
200137,918
200138,9734
200139,6387
200140,2781
200141,1391
200142,6590
200143,8054
200144,1258
200145,6293
200146,2665
200147,4487
200148,3028
200149,241
200150,11096
200151,5139
200152,820
200153,471
200154,7609
200155,2491
200156,16597
200157,8325
200158,9980
200159,7649
200160,7008
200161,7968
200162,6845
200163,1113
200164,16679
200165,14401
200166,22554
200167,3566
200168,37554
200169,760
200170,2447
200171,8504
200172,1911
200173,35980
200174,911
200175,2368
200176,7934
200177,5796
200178,5142
