SaleID,price
200000,1390
200001,1769
200002,8861
200003,1254
200004,1988
200005,1005
200006,570
200007,3340
200008,9941
200009,666
200010,593
200011,2581
200012,5691
200013,7492
200014,1922
200015,262
200016,1827
200017,8504
200018,6889
200019,746
200020,24222
200021,7468
200022,2085
200023,1675
200024,795
200025,8498
200026,474
200027,12667
200028,4019
200029,8030
200030,17190
200031,13437
200032,556
200033,14556
200034,1061
200035,1957
200036,13841
200037,6089
200038,1553
200039,367
200040,548
200041,27363
200042,577
200043,7502
200044,19919
200045,478
200046,16413
200047,16769
200048,2175
200049,3260
200050,709
200051,4552
200052,3094
200053,350
200054,13304
200055,10983
200056,5937
200057,3369
200058,1258
200059,5079
200060,8731
200061,1078
200062,5559
200063,8300
200064,1166
200065,1663
200066,460
200067,10359
200068,278
200069,18551
200070,9019
200071,589
200072,6530
200073,17119
200074,4059
200075,13246
200076,2991
200077,461
200078,439
200079,3036
200080,3092
200081,1901
200082,4183
200083,471
200084,1335
200085,1930
200086,6856
200087,3457
200088,2557
200089,41579
200090,2607
200091,223
200092,1325
200093,17144
200094,6309
200095,5876
200096,2507
200097,1224
200098,487
200099,21205
200100,21365
200101,7415
200102,1641
200103,10978
200104,5506
200105,3977
200106,8720
200107,2005
200108,14515
200109,8192
200110,602
200111,1801
200112,1789
200113,872
200114,2065
200115,1418
200116,14222
200117,16528
200118,57074
200119,183
200120,2824
200121,2339
200122,617
200123,2473
200124,55845
200125,669
200126,3104
200127,15870
200128,1703
200129,5884
200130,3911
200131,2939
200132,1439
200133,3000
200134,1267
200135,2963
200136,3870
200137,917
200138,9732
200139,6394
200140,2786
200141,1388
200142,6595
200143,8064
200144,1259
200145,6294
200146,2666
200147,4488
200148,3015
200149,244
200150,11095
200151,5152
200152,827
200153,470
200154,7631
200155,2487
200156,16582
200157,8337
200158,9991
200159,7633
200160,7018
200161,7966
200162,6850
200163,1112
200164,16681
200165,14373
200166,22542
200167,3561
200168,37629
200169,761
200170,2449
200171,8492
200172,1915
200173,35968
200174,901
200175,2378
200176,7930
200177,5793
200178,5137
200179,4297
200180,900
200181,20323
200182,4457
200183,1618
200184,2377
200185,4291
200186,3529
200187,6068
200188,12355
200189,11184
200190,3473
200191,3072
200192,1158
200193,4697
200194,7377
200195,2488
200196,755
200197,22171
200198,1326
200199,4689
200200,568
200201,7899
200202,2154
200203,1651
200204,7992
200205,5159
200206,851
200207,4877
200208,5642
200209,1736
200210,13718
200211,5566
200212,7703
200213,9217
200214,19885
200215,7129
200216,3370
200217,1224
