iter	RMSE
0	7520.133559
1	7514.033909
2	7508.001122
3	7501.983261
4	7495.819276
5	7489.728183
6	7483.687209
7	7477.584568
8	7471.543163
9	7465.459693
10	7459.422874
11	7453.430123
12	7447.340965
13	7441.244192
14	7435.176639
15	7429.231052
16	7423.193478
17	7417.236156
18	7411.375262
19	7405.313109
20	7399.379336
21	7393.473734
22	7387.571569
23	7381.604914
24	7375.628204
25	7369.654848
26	7363.795208
27	7357.836146
28	7351.886863
29	7345.943945
30	7339.990131
31	7334.023557
32	7328.216098
33	7322.256207
34	7316.30739
35	7310.378567
36	7304.518564
37	7298.608317
38	7292.720431
39	7286.817866
40	7280.989662
41	7275.207271
42	7269.428966
43	7263.613095
44	7257.887323
45	7252.076547
46	7246.300384
47	7240.517268
48	7234.739858
49	7228.833565
50	7222.992474
51	7217.229683
52	7211.474325
53	7205.68923
54	7199.878538
55	7194.092201
56	7188.30818
57	7182.574808
58	7176.825424
59	7171.077037
60	7165.32347
61	7159.5901
62	7153.869379
63	7148.133691
64	7142.417689
65	7136.806948
66	7131.027029
67	7125.29214
68	7119.566112
69	7113.849756
70	7108.12153
71	7102.521068
72	7096.898367
73	7091.296804
74	7085.649978
75	7079.96216
76	7074.282775
77	7068.69144
78	7063.017359
79	7057.428947
80	7051.849281
81	7046.225975
82	7040.670671
83	7035.0191
84	7029.546257
85	7023.954334
86	7018.335396
87	7012.731637
88	7007.160298
89	7001.524781
90	6996.002579
91	6990.474576
92	6984.878114
93	6979.325545
94	6973.788599
95	6968.189395
96	6962.640102
97	6957.060198
98	6951.513937
99	6945.998634
100	6940.522689
101	6935.063176
102	6929.604171
103	6924.226376
104	6918.725286
105	6913.235147
106	6907.775454
107	6902.216455
108	6896.704165
109	6891.246233
110	6885.708806
111	6880.326168
112	6874.896393
113	6869.487941
114	6864.065332
115	6858.645025
116	6853.193837
117	6847.820518
118	6842.347391
119	6836.905678
120	6831.576462
121	6826.17927
122	6820.792792
123	6815.417615
124	6810.067716
125	6804.642236
126	6799.287936
127	6793.912946
128	6788.523214
129	6783.129107
130	6777.732111
131	6772.441447
132	6767.129918
133	6761.806579
134	6756.477677
135	6751.166784
136	6746.033872
137	6740.743488
138	6735.417589
139	6730.15648
140	6724.827929
141	6719.536602
142	6714.197681
143	6708.983647
144	6703.765589
145	6698.538141
146	6693.315652
147	6688.036993
148	6682.827422
149	6677.57412
150	6672.296446
151	6667.046861
152	6661.885425
153	6656.71873
154	6651.470785
155	6646.322789
156	6641.100499
157	6635.927547
158	6630.687538
159	6625.574625
160	6620.385756
161	6615.202317
162	6610.015712
163	6604.847208
164	6599.705885
165	6594.550435
166	6589.344701
167	6584.226255
168	6579.153943
169	6573.9748
170	6568.871117
171	6563.697065
172	6558.577391
173	6553.522904
174	6548.39365
175	6543.294413
176	6538.161366
177	6533.083226
178	6528.011704
179	6522.842632
180	6517.737229
181	6512.761002
182	6507.690181
183	6502.666517
184	6497.677357
185	6492.667423
186	6487.671401
187	6482.651422
188	6477.733681
189	6472.739935
190	6467.651397
