iter	Passed	Remaining
0	68	102289
1	78	58521
2	87	43529
3	96	35998
4	106	31776
5	115	28840
6	125	26696
7	133	24921
8	142	23587
9	151	22506
10	159	21586
11	168	20858
12	177	20266
13	186	19814
14	195	19310
15	204	18945
16	212	18553
17	220	18194
18	229	17895
19	238	17650
20	247	17397
21	255	17144
22	264	16979
23	272	16763
24	280	16568
25	289	16386
26	297	16229
27	306	16090
28	314	15954
29	323	15853
30	332	15757
31	340	15631
32	349	15524
33	357	15412
34	366	15324
35	374	15227
36	383	15163
37	391	15065
38	400	14993
39	408	14899
40	417	14845
41	425	14762
42	434	14715
43	444	14721
44	454	14686
45	463	14647
46	472	14620
47	483	14611
48	493	14599
49	502	14564
50	510	14509
51	520	14482
52	528	14432
53	538	14409
54	547	14371
55	556	14348
56	565	14324
57	575	14300
58	584	14272
59	593	14237
60	602	14212
61	611	14184
62	621	14180
63	632	14199
64	642	14177
65	651	14149
66	660	14121
67	669	14106
68	679	14086
69	687	14052
70	697	14045
71	707	14035
72	751	14684
73	768	14813
74	777	14778
75	786	14727
76	795	14693
77	803	14656
78	812	14614
79	821	14582
80	831	14570
81	841	14554
82	897	15320
83	907	15291
84	915	15240
85	924	15195
86	932	15146
87	941	15101
88	949	15058
89	958	15010
90	966	14971
91	975	14930
92	984	14890
93	992	14845
94	1001	14810
95	1010	14771
96	1018	14726
97	1026	14691
98	1035	14653
99	1044	14622
100	1052	14581
101	1060	14541
102	1068	14498
103	1077	14461
104	1085	14428
105	1094	14398
106	1103	14367
107	1113	14354
108	1122	14319
109	1131	14292
110	1139	14262
111	1148	14233
112	1157	14202
113	1165	14174
114	1175	14157
115	1184	14127
116	1192	14095
117	1201	14066
118	1209	14039
119	1217	14006
120	1226	13977
121	1235	13952
122	1244	13931
123	1253	13904
124	1261	13878
125	1270	13855
126	1279	13828
127	1287	13803
128	1296	13778
129	1304	13744
130	1312	13717
131	1321	13693
132	1329	13667
133	1338	13645
134	1346	13619
135	1355	13595
136	1363	13569
137	1372	13541
138	1380	13517
139	1389	13494
140	1397	13467
141	1406	13447
142	1414	13422
143	1422	13398
144	1431	13380
145	1441	13370
146	1450	13347
147	1458	13321
148	1466	13301
149	1476	13288
150	1484	13265
151	1493	13248
152	1502	13229
153	1510	13205
154	1519	13181
155	1527	13158
156	1536	13139
157	1545	13129
158	1555	13118
159	1564	13104
160	1574	13098
161	1585	13091
162	1594	13076
163	1606	13086
164	1614	13066
165	1624	13051
166	1632	13031
167	1641	13017
168	1649	12994
169	1659	12979
170	1667	12959
171	1675	12940
172	1685	12927
173	1694	12910
174	1703	12894
175	1711	12876
176	1720	12858
177	1728	12836
178	1736	12818
179	1745	12798
180	1753	12779
181	1761	12759
182	1770	12738
183	1778	12718
184	1786	12698
185	1795	12683
186	1804	12671
187	1813	12653
188	1821	12637
189	1830	12620
190	1839	12606
191	1847	12588
192	1856	12575
193	1865	12561
194	1874	12544
195	1882	12527
196	1891	12508
197	1899	12487
198	1908	12477
199	1917	12463
200	1925	12443
201	1934	12427
202	1942	12414
203	1951	12398
204	1959	12379
205	1968	12364
206	1976	12344
207	1984	12325
208	1991	12304
209	2000	12291
210	2009	12276
211	2017	12258
212	2026	12241
213	2035	12229
214	2043	12212
215	2051	12197
216	2060	12180
217	2068	12164
218	2077	12150
219	2086	12140
220	2094	12123
221	2103	12111
222	2112	12096
223	2120	12081
224	2129	12065
225	2138	12053
226	2148	12047
227	2156	12033
228	2166	12022
229	2175	12011
230	2184	12003
231	2194	11992
232	2203	11981
233	2212	11969
234	2221	11958
235	2229	11943
236	2239	11934
237	2248	11921
238	2256	11907
239	2265	11892
240	2274	11879
241	2282	11866
242	2291	11852
243	2300	11841
244	2309	11829
245	2318	11816
246	2326	11802
247	2335	11788
248	2343	11775
249	2352	11761
250	2360	11744
251	2368	11732
252	2378	11721
253	2386	11707
254	2395	11693
255	2404	11682
256	2413	11672
257	2423	11666
258	2432	11655
259	2441	11645
260	2450	11632
261	2460	11624
262	2468	11609
263	2476	11595
264	2484	11580
265	2494	11570
266	2502	11556
267	2510	11541
268	2518	11526
269	2527	11512
270	2535	11498
271	2543	11484
272	2552	11474
273	2562	11465
274	2570	11450
275	2579	11438
276	2588	11426
277	2596	11413
278	2604	11398
279	2613	11386
280	2622	11375
281	2630	11362
282	2638	11346
283	2647	11335
284	2656	11325
285	2665	11312
286	2673	11300
287	2681	11286
288	2690	11275
289	2699	11265
290	2707	11248
291	2715	11234
292	2724	11225
293	2734	11215
294	2742	11203
295	2750	11189
296	2760	11179
297	2769	11171
298	2778	11160
299	2788	11152
300	2797	11142
301	2806	11134
302	2814	11120
303	2824	11111
304	2833	11101
305	2842	11092
306	2851	11080
307	2860	11072
308	2869	11059
309	2877	11047
310	2886	11037
311	2895	11024
312	2904	11014
313	2913	11006
314	2923	10997
315	2931	10985
316	2940	10974
317	2949	10964
318	2958	10952
319	2966	10940
320	2975	10928
321	2984	10919
322	2994	10910
323	3003	10901
324	3012	10890
325	3021	10879
326	3029	10868
327	3038	10857
