SaleID,price
200000,1258
200001,1778
200002,8420
200003,1300
200004,2033
200005,1360
200006,497
200007,3565
200008,12850
200009,673
200010,723
200011,2522
200012,5893
200013,7932
200014,2198
200015,330
200016,1855
200017,8223
200018,6758
200019,762
200020,24091
200021,7255
200022,2128
200023,1592
200024,863
200025,8748
200026,742
200027,12795
200028,4479
200029,7678
200030,17493
200031,12480
200032,644
200033,14083
200034,968
200035,1811
200036,14088
200037,6318
200038,1491
200039,373
200040,643
200041,23670
200042,499
200043,7711
200044,18628
200045,680
200046,15845
200047,16639
200048,2206
200049,3253
200050,795
200051,4488
200052,2821
200053,594
200054,13167
200055,10957
200056,6187
200057,3363
200058,1291
200059,5175
200060,8362
200061,1430
200062,5356
200063,8734
200064,1397
200065,1779
200066,557
200067,10408
200068,227
200069,18173
200070,8942
200071,399
200072,6097
200073,17742
200074,3903
200075,11611
200076,2821
200077,517
200078,419
200079,2921
200080,3514
200081,2031
200082,3772
200083,491
200084,1412
200085,1767
200086,6643
200087,3426
200088,2568
200089,40083
200090,2827
200091,336
200092,1946
200093,17226
200094,6951
200095,5731
200096,2527
200097,1259
200098,461
200099,22045
200100,21582
200101,7818
200102,1763
200103,10893
200104,5478
200105,3710
200106,9008
200107,2151
200108,14880
200109,7993
200110,763
200111,1802
200112,1819
200113,800
200114,2178
200115,1403
200116,13532
200117,15998
200118,58136
200119,287
200120,3220
200121,2774
200122,715
200123,2364
200124,56082
200125,724
200126,3311
200127,14908
200128,1657
200129,5841
200130,3790
200131,3139
200132,1253
200133,2929
200134,1288
200135,3203
200136,3796
200137,1366
200138,10311
200139,6891
200140,2339
200141,1565
200142,5819
200143,6273
200144,1314
200145,5791
200146,2591
200147,4421
200148,2819
200149,304
200150,11025
200151,5344
200152,758
200153,544
200154,7775
200155,2540
200156,16426
200157,8569
200158,10591
200159,5348
200160,7185
200161,7319
200162,6617
200163,950
200164,17072
200165,15586
200166,24710
200167,3590
200168,37792
200169,811
200170,2546
200171,8347
200172,2147
200173,34226
200174,1082
200175,2255
200176,7985
200177,5821
200178,4910
200179,4227
200180,987
200181,17677
200182,4400
200183,1769
200184,2257
200185,4581
200186,3309
200187,5773
200188,12411
200189,11220
200190,3508
200191,3072
200192,1139
200193,4160
200194,7296
200195,2445
200196,982
200197,22806
200198,1324
200199,4525
200200,649
200201,7750
200202,2125
200203,1866
200204,7806
200205,5062
200206,1046
200207,4730
200208,5453
200209,1498
200210,13941
200211,5494
200212,7756
200213,8848
200214,19877
200215,7143
200216,3261
200217,1139
200218,10163
200219,1257
200220,2681
200221,7488
200222,2558
200223,857
200224,13615
200225,3408
200226,1177
200227,8742
200228,285
200229,6852
200230,8496
200231,4708
200232,1045
200233,7443
200234,481
200235,8453
200236,10527
200237,4755
200238,7419
200239,9710
200240,26242
200241,10666
200242,3795
200243,2856
200244,6322
200245,4394
200246,4493
200247,1876
200248,353
200249,10556
200250,30807
200251,10157
200252,853
200253,7766
200254,10723
200255,7386
200256,2571
200257,9499
200258,4033
200259,7623
200260,1649
200261,4426
200262,2891
200263,8884
200264,7015
200265,5676
200266,1372
200267,14373
200268,7479
200269,3702
200270,10008
200271,2939
200272,3024
200273,16917
200274,590
200275,14649
200276,2025
200277,3320
200278,1871
200279,10087
200280,2953
200281,762
200282,13396
200283,6259
200284,485
200285,5523
200286,2583
200287,12114
200288,12340
200289,3094
200290,7144
200291,9007
200292,2106
200293,9215
200294,7012
200295,1710
200296,2758
200297,7762
200298,1455
200299,4493
200300,5137
200301,5193
200302,1688
200303,6932
200304,2637
200305,3909
200306,1787
200307,14381
200308,1610
200309,1175
200310,1071
200311,1256
200312,10703
200313,1808
200314,4902
200315,1262
200316,39098
200317,2619
200318,533
200319,10240
200320,3135
200321,28584
200322,13533
200323,1459
200324,24631
200325,5594
200326,2500
200327,25404
200328,782
200329,7990
200330,1898
200331,1602
200332,11766
200333,1266
200334,612
200335,1533
200336,1509
200337,1138
200338,1712
200339,13279
200340,28545
200341,3174
200342,5990
200343,1917
200344,5042
200345,6759
200346,1230
200347,11039
200348,10282
200349,802
200350,11061
200351,2402
200352,758
200353,1723
200354,3773
200355,700
200356,4555
200357,1941
200358,3006
200359,8577
200360,15379
200361,1756
200362,2275
200363,1616
200364,6721
200365,8992
200366,1218
200367,7842
200368,6624
200369,5330
200370,1045
200371,10991
200372,1084
200373,1178
200374,1091
200375,1289
200376,2460
200377,1978
200378,1363
200379,1756
200380,734
200381,3658
200382,34913
200383,2221
200384,2667
200385,865
200386,1356
200387,3915
200388,7411
200389,6941
200390,370
200391,3523
200392,1304
200393,2858
200394,3517
200395,304
200396,3108
200397,1042
200398,2128
200399,858
200400,2111
200401,4926
200402,1660
200403,3572
200404,730
200405,717
200406,2127
200407,1721
200408,6990
200409,12488
200410,8621
200411,1549
200412,20032
200413,11571
200414,4845
200415,9176
200416,7938
200417,1914
200418,1127
200419,16925
200420,19077
200421,1521
200422,1568
200423,1148
200424,53765
200425,8904
200426,3642
200427,18353
200428,1552
200429,5129
200430,5199
200431,2771
200432,4226
200433,16063
200434,757
200435,5034
200436,10592
200437,863
200438,318
200439,1187
200440,1310
200441,1353
200442,1486
200443,6205
200444,1443
200445,3216
200446,3795
200447,7021
200448,13094
200449,1162
200450,2539
200451,1156
200452,3187
200453,3382
