SaleID,price
200000,1089
200001,1698
200002,7235
200003,1229
200004,2111
200005,1391
200006,368
200007,3687
200008,11381
200009,598
200010,637
200011,2490
200012,5102
200013,8072
200014,2483
200015,252
200016,1707
200017,7468
200018,8313
200019,423
200020,24106
200021,8051
200022,2583
200023,1445
200024,902
200025,7718
200026,538
200027,11615
200028,4886
200029,7904
200030,21870
200031,9532
200032,561
200033,13628
200034,737
200035,1917
200036,14074
200037,6111
200038,1371
200039,302
200040,629
200041,19494
200042,435
200043,8486
200044,22787
200045,646
200046,19953
200047,17790
200048,2687
200049,3326
200050,614
200051,4314
200052,2914
200053,442
200054,13006
200055,10509
200056,7120
200057,3532
200058,1216
200059,5198
200060,7665
200061,1415
200062,5581
200063,10290
200064,1348
200065,2036
200066,535
200067,12102
200068,185
200069,21755
200070,8894
200071,217
200072,4949
200073,17353
200074,4337
200075,10867
200076,2682
200077,307
200078,357
200079,2973
200080,3634
200081,1851
200082,4582
200083,491
200084,1278
200085,1522
200086,6919
200087,3354
200088,2632
200089,34650
200090,2836
200091,184
200092,2280
200093,20985
200094,8131
200095,6101
200096,2421
200097,1231
200098,381
200099,15038
200100,26388
200101,7569
200102,1673
200103,11868
200104,5532
200105,3283
200106,10141
200107,2155
200108,12824
200109,7517
200110,906
200111,1663
200112,1737
200113,545
200114,2385
200115,1280
200116,13916
200117,13528
200118,62811
200119,240
200120,3340
200121,3209
200122,680
200123,2235
200124,45633
200125,773
200126,3605
200127,14100
200128,1611
200129,6092
200130,3736
200131,2785
200132,1136
200133,2871
200134,1204
200135,2825
200136,3908
200137,1389
200138,11164
200139,6461
200140,2095
200141,1492
200142,4422
200143,8421
200144,1342
200145,5305
200146,2529
200147,3617
200148,1915
200149,218
200150,11050
200151,4727
200152,582
200153,480
200154,8527
200155,3245
200156,15232
200157,9617
200158,10186
200159,2402
200160,7457
200161,6996
200162,6308
200163,563
200164,19610
200165,18080
200166,27666
200167,3632
200168,35925
200169,808
200170,2385
200171,7846
200172,2296
200173,33512
200174,809
200175,1975
200176,9077
200177,5812
200178,5200
200179,3970
200180,928
200181,15488
200182,4534
200183,1882
200184,2431
200185,3609
200186,2800
200187,8359
200188,17754
200189,8612
200190,4947
200191,3607
200192,1081
200193,3171
200194,7253
200195,2297
200196,868
200197,28350
200198,1215
200199,4862
200200,663
200201,8763
200202,1975
200203,1768
200204,6815
200205,5595
200206,971
200207,3632
200208,5463
200209,1141
200210,12330
200211,6119
200212,7099
200213,8790
200214,23018
200215,7788
200216,3449
200217,1187
200218,9335
200219,1157
200220,2127
200221,6846
200222,2610
200223,782
200224,18743
200225,3514
200226,1103
200227,8442
200228,210
200229,6371
200230,6297
200231,4324
200232,880
200233,7436
200234,373
200235,7349
200236,2817
200237,4762
200238,9318
200239,8068
200240,23038
200241,11110
200242,3859
200243,3418
200244,6933
200245,4647
200246,4223
200247,1631
200248,355
200249,9588
200250,19222
200251,12078
200252,653
200253,8505
200254,10010
200255,8344
200256,1940
200257,11818
200258,4284
200259,7231
200260,1688
200261,5575
200262,2793
200263,9928
200264,5614
200265,3440
200266,1134
200267,11527
200268,6745
200269,4480
200270,9980
200271,2776
200272,2847
200273,16251
200274,450
200275,16036
200276,1777
200277,2940
200278,1787
200279,11284
200280,2585
200281,734
200282,10737
200283,6241
200284,423
200285,4869
200286,1107
200287,12931
200288,12626
200289,3670
200290,6274
200291,11422
200292,3294
200293,10977
200294,6170
200295,1376
200296,2595
200297,7058
200298,1349
200299,3921
200300,5037
200301,5847
200302,1640
200303,6736
200304,2256
200305,3616
200306,1813
200307,16812
200308,1468
200309,1087
200310,1027
200311,1105
200312,11194
200313,1887
200314,4002
