SaleID,price
200000,1253
200001,1774
200002,8399
200003,1298
200004,2049
200005,1287
200006,475
200007,3510
200008,12555
200009,669
200010,727
200011,2535
200012,5500
200013,8036
200014,2155
200015,336
200016,1855
200017,8162
200018,6687
200019,784
200020,23792
200021,7169
200022,2094
200023,1605
200024,905
200025,8602
200026,741
200027,12770
200028,4469
200029,7771
200030,17705
200031,12562
200032,651
200033,14181
200034,948
200035,1867
200036,14288
200037,5938
200038,1474
200039,361
200040,667
200041,24950
200042,483
200043,7636
200044,18625
200045,684
200046,15970
200047,16886
200048,2219
200049,3297
200050,835
200051,4437
200052,2963
200053,555
200054,13675
200055,10034
200056,6449
200057,3414
200058,1313
200059,5222
200060,8072
200061,1372
200062,5176
200063,8711
200064,1408
200065,1728
200066,553
200067,10362
200068,221
200069,17955
200070,8922
200071,368
200072,6086
200073,17279
200074,3979
200075,12901
200076,2891
200077,503
200078,411
200079,3037
200080,3429
200081,2068
200082,4168
200083,496
200084,1420
200085,1790
200086,6653
200087,3420
200088,2617
200089,39805
200090,2916
200091,333
200092,2007
200093,17395
200094,6900
200095,5674
200096,2524
200097,1240
200098,456
200099,21428
200100,21545
200101,7937
200102,1797
200103,11078
200104,5559
200105,3639
200106,8956
200107,2081
200108,14682
200109,8051
200110,826
200111,1771
200112,1799
200113,779
200114,2330
200115,1405
200116,13401
200117,16353
200118,58309
200119,281
200120,3457
200121,2793
200122,753
200123,2407
200124,57189
200125,717
200126,3344
200127,15148
200128,1622
200129,5850
200130,3836
200131,3094
200132,1301
200133,2963
200134,1277
200135,3061
200136,3741
200137,1263
200138,10219
200139,6671
200140,2338
200141,1535
200142,5466
200143,5714
200144,1342
200145,6019
200146,2548
200147,4459
200148,2852
200149,303
200150,10727
200151,5372
200152,755
200153,558
200154,7796
200155,2387
200156,16251
200157,8417
200158,10602
200159,5885
200160,7087
200161,7187
200162,6524
200163,920
200164,16881
200165,15756
200166,25240
200167,3622
200168,38889
200169,859
200170,2566
200171,8436
200172,2137
200173,33249
200174,1109
200175,2328
200176,8005
200177,5818
200178,4973
200179,4090
200180,974
200181,17698
200182,4407
200183,1719
200184,2238
200185,4364
200186,3381
200187,5712
200188,12361
200189,11876
200190,3402
200191,3159
200192,1172
200193,4120
200194,7633
200195,2457
200196,1011
200197,23176
200198,1304
200199,4486
200200,630
200201,7767
200202,2135
200203,1888
200204,8019
200205,5233
200206,1054
200207,5216
200208,5503
200209,1437
200210,13745
200211,5686
200212,7597
200213,8689
200214,20129
200215,7179
200216,3197
200217,1153
200218,10218
200219,1251
200220,2684
200221,7731
200222,2499
200223,916
200224,13768
200225,3427
200226,1186
200227,9072
200228,302
200229,6787
200230,8444
200231,4831
200232,1084
200233,7508
200234,498
200235,8155
200236,11614
200237,4713
200238,7299
200239,9053
200240,25531
200241,10614
200242,3882
200243,2939
200244,6366
200245,4320
200246,4339
200247,1833
200248,327
200249,10205
200250,30945
200251,10445
200252,829
200253,7805
200254,10740
200255,7675
200256,2764
200257,9525
200258,4000
200259,7764
200260,1627
200261,4565
200262,2829
200263,8894
200264,6647
200265,5650
200266,1365
200267,14204
200268,7446
200269,3703
200270,9788
200271,2957
200272,2956
200273,16960
200274,585
200275,14896
200276,2074
200277,3161
200278,1733
200279,9604
200280,2947
200281,745
200282,13355
200283,6239
200284,505
200285,5543
200286,2608
200287,12166
200288,12514
200289,3220
200290,7200
200291,9205
200292,2117
200293,9500
200294,7042
200295,1617
200296,2681
200297,7654
200298,1409
200299,4528
200300,4896
200301,5153
200302,1667
200303,7031
200304,2696
200305,3979
200306,1789
200307,14880
200308,1610
200309,1203
200310,1062
200311,1259
200312,10771
200313,1758
200314,5106
200315,1278
200316,38424
200317,2711
200318,511
200319,10283
200320,3114
200321,29338
200322,14564
200323,1436
200324,24324
200325,5665
200326,2388
200327,25531
200328,880
200329,8038
200330,1929
200331,1596
200332,11891
200333,1282
200334,588
200335,1539
200336,1517
200337,1148
200338,1729
200339,13307
200340,29254
200341,3255
200342,6076
200343,1957
200344,5056
200345,7132
200346,1235
200347,11250
200348,10298
200349,801
200350,11246
200351,2324
200352,764
200353,1711
200354,3753
200355,679
200356,4643
200357,1954
200358,2972
200359,8620
200360,15456
200361,1765
200362,2238
200363,1632
200364,6739
200365,9171
200366,1290
200367,7844
200368,6900
200369,5454
200370,1055
200371,11076
200372,1078
200373,1167
200374,1099
200375,1278
200376,2505
200377,1956
200378,1377
200379,1763
200380,790
200381,3656
200382,34879
200383,2381
200384,2594
200385,902
200386,1371
200387,4034
200388,7308
200389,6954
200390,377
200391,3583
200392,1298
200393,2837
200394,3609
200395,402
200396,3314
200397,1067
200398,2123
200399,877
200400,2154
200401,4959
200402,1604
200403,3538
200404,723
200405,754
200406,2041
200407,1645
200408,7084
200409,12508
200410,7327
200411,1546
200412,20050
200413,11242
200414,4678
200415,9169
200416,8058
200417,1911
200418,1124
200419,16775
200420,18727
200421,1516
200422,1545
200423,1157
200424,53086
200425,8905
200426,3718
200427,18719
200428,1553
200429,5177
200430,5735
200431,2749
200432,4225
200433,16529
200434,751
200435,5186
200436,10352
200437,868
200438,314
200439,1231
200440,1313
200441,1237
200442,1510
200443,6453
200444,1415
200445,3140
200446,3857
200447,7080
200448,13956
200449,1126
200450,2625
200451,1142
200452,3277
200453,3332
200454,1226
200455,8280
200456,1247
200457,1409
200458,844
200459,4550
200460,3114
200461,3769
200462,5574
200463,8274
200464,1297
200465,9030
200466,2340
200467,2931
200468,2263
200469,321
200470,9677
200471,455
200472,8726
200473,50225
200474,1724
200475,3777
200476,12506
200477,5202
200478,5223
200479,1217
200480,6746
200481,1720
200482,1486
200483,2709
200484,2392
200485,4866
200486,5289
200487,9321
200488,1115
200489,5576
200490,8576
200491,8371
200492,19703
200493,185
200494,2704
200495,6111
200496,458
200497,608
200498,18061
200499,822
200500,6368
200501,4152
200502,1855
200503,574
200504,2729
200505,6065
200506,251
200507,3876
200508,2219
200509,1327
200510,8488
200511,10175
200512,26052
200513,14799
200514,12278
200515,725
200516,22529
200517,9062
200518,2505
200519,13501
200520,2029
200521,22910
200522,248
200523,3805
200524,8843
200525,491
200526,481
200527,4219
200528,3539
200529,736
200530,6932
200531,14162
200532,2116
200533,20173
200534,1327
200535,420
200536,1094
200537,1007
200538,3895
200539,6689
200540,2668
200541,2721
200542,2756
200543,4477
200544,592
200545,3639
200546,6313
200547,4397
200548,3960
200549,13793
200550,13646
200551,465
200552,11847
200553,362
200554,12805
200555,2617
200556,4276
200557,12253
200558,6453
200559,1340
200560,2624
200561,4180
200562,19936
200563,5886
200564,10548
200565,25455
200566,8565
200567,1977
200568,9746
200569,266
200570,1848
200571,3728
200572,11040
200573,16359
200574,992
200575,1351
200576,950
200577,874
200578,20707
200579,317
200580,5359
200581,1608
200582,6170
200583,1032
200584,17797
200585,7663
200586,4645
200587,1561
200588,4030
200589,2402
200590,351
200591,11329
200592,4013
200593,10193
200594,9044
200595,685
200596,4809
200597,21736
200598,11458
200599,3650
200600,6912
200601,8483
200602,9901
200603,26466
200604,10759
200605,1414
200606,4214
200607,7197
200608,8864
200609,900
200610,7659
200611,12290
200612,9591
200613,1012
200614,644
200615,1062
200616,2615
200617,1961
200618,4407
200619,347
200620,2434
200621,10866
200622,4903
200623,18543
200624,1232
200625,863
200626,2756
200627,7671
200628,5258
200629,7602
200630,2120
200631,12736
200632,1609
200633,4601
200634,2549
200635,4921
200636,16199
200637,17545
200638,1684
200639,2125
200640,1355
200641,2775
200642,996
200643,6751
200644,21393
200645,2604
200646,7539
200647,9315
200648,310
200649,5950
200650,5761
200651,4983
200652,633
200653,5892
200654,2895
200655,14573
200656,1570
200657,4909
200658,7903
200659,3260
200660,5969
200661,8532
200662,2013
200663,1585
200664,1832
200665,5916
200666,1954
200667,13339
200668,19832
200669,1692
200670,8223
200671,1318
200672,1042
200673,13531
200674,5183
200675,5954
200676,6082
200677,8766
200678,2051
200679,1756
200680,6944
200681,3113
200682,2910
200683,266
200684,408
200685,1476
200686,3196
200687,3198
200688,874
200689,11343
200690,1550
200691,5850
